date,persons_involved,killed,injured,county,pedestrian_involved,accident_type,light_conditions
2020-09-08 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2020-08-22 21:03:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2020-08-24 23:24:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2020-08-25 15:31:00,3,0,2,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2020-08-28 18:55:00,2,0,1,Pärnu maakond,1,Jalakäijaõnnetus,Valge aeg
2020-05-09 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2020-05-09 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2020-09-23 21:10:00,2,0,1,Pärnu maakond,1,Jalakäijaõnnetus,Pimeda aeg
2020-07-10 00:00:00,2,0,1,Harju maakond,0,Muu liiklusõnnetus,Valge aeg
2020-10-11 00:00:00,2,0,1,Pärnu maakond,0,Kokkupõrge,Valge aeg
2020-11-21 15:17:00,3,0,2,Harju maakond,0,Kokkupõrge,Valge aeg
2020-11-26 09:30:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2020-11-26 16:20:00,2,0,1,Pärnu maakond,1,Jalakäijaõnnetus,Valge aeg
2020-09-12 00:00:00,2,0,1,Pärnu maakond,0,Ühesõidukiõnnetus,Valge aeg
2020-12-13 11:41:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2020-12-22 06:15:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2021-01-31 01:25:00,2,0,2,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2021-08-02 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2021-02-25 06:11:00,1,0,1,Järva maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2021-08-03 00:00:00,1,0,1,Järva maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2021-04-24 16:19:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2021-01-05 00:00:00,4,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2021-01-05 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2021-05-15 12:35:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2021-05-15 22:05:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2021-05-28 11:47:00,3,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2021-02-06 00:00:00,1,0,1,Pärnu maakond,0,Ühesõidukiõnnetus,Valge aeg
2021-06-06 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2021-10-07 00:00:00,3,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2021-07-16 06:05:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2021-07-16 21:11:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2021-08-26 21:30:00,1,0,1,Pärnu maakond,1,Jalakäijaõnnetus,Pimeda aeg
2021-09-17 01:26:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2021-09-28 17:55:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2021-10-25 20:30:00,3,0,2,Harju maakond,0,Kokkupõrge,Pimeda aeg
2021-11-14 02:44:00,2,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2021-05-12 00:00:00,2,0,2,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2012-08-04 00:00:00,1,1,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2011-07-01 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-01-13 10:04:00,5,0,2,Harju maakond,0,Kokkupõrge,Valge aeg
2011-01-13 12:54:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-03-23 19:00:00,2,0,1,Harju maakond,1,Ühesõidukiõnnetus,Valge aeg
2011-05-04 00:00:00,1,0,1,Harju maakond,0,Muu liiklusõnnetus,Valge aeg
2011-09-05 00:00:00,1,0,1,Harju maakond,0,Muu liiklusõnnetus,Valge aeg
2011-05-13 23:15:00,1,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-01-06 00:00:00,1,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-01-06 00:00:00,1,0,1,Harju maakond,0,Muu liiklusõnnetus,Valge aeg
2011-06-25 21:50:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-07-22 08:40:00,1,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-01-08 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-11-08 00:00:00,2,0,2,Harju maakond,0,Kokkupõrge,Valge aeg
2011-09-13 19:30:00,2,0,1,Harju maakond,0,Muu liiklusõnnetus,Valge aeg
2011-09-19 11:25:00,3,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-09-20 06:00:00,1,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-09-30 08:45:00,1,0,1,Harju maakond,0,Muu liiklusõnnetus,Valge aeg
2011-09-10 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-09-10 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2011-09-10 00:00:00,2,0,1,Harju maakond,0,Muu liiklusõnnetus,Pimeda aeg
2011-10-10 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2011-10-10 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-10-10 00:00:00,2,1,0,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-12-10 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-12-10 00:00:00,1,1,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2011-12-10 00:00:00,2,1,0,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-12-10 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-10-13 07:45:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-10-13 22:44:00,3,1,0,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-10-14 08:27:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-10-14 11:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-10-15 15:59:00,2,0,7,Harju maakond,0,Kokkupõrge,Valge aeg
2011-10-16 01:47:00,2,0,1,Harju maakond,0,Muu liiklusõnnetus,Pimeda aeg
2011-10-16 03:45:00,3,0,1,Harju maakond,1,Kokkupõrge,Pimeda aeg
2011-10-17 13:52:00,2,0,1,Harju maakond,0,Muu liiklusõnnetus,Valge aeg
2011-10-17 14:10:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-10-17 17:10:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-10-18 07:10:00,2,0,2,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-10-18 12:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-10-18 18:54:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-10-19 03:25:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-10-19 11:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-10-19 17:21:00,1,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-10-19 18:30:00,1,0,1,Harju maakond,0,Muu liiklusõnnetus,Pimeda aeg
2011-10-20 08:35:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-10-20 09:35:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-10-20 16:51:00,2,0,2,Harju maakond,0,Kokkupõrge,Valge aeg
2011-10-20 17:38:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-10-20 21:10:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-10-21 07:32:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-10-22 08:00:00,1,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-10-22 12:16:00,1,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-10-22 19:31:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-10-23 15:29:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2011-10-23 20:30:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-10-24 16:50:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-10-25 07:47:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-10-27 17:35:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-10-28 16:02:00,3,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-10-29 16:27:00,1,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-10-29 17:20:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-10-29 19:34:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-10-31 16:25:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-10-31 17:20:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-10-31 21:25:00,2,1,0,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-01-11 00:00:00,1,0,1,Harju maakond,0,Muu liiklusõnnetus,Valge aeg
2011-01-11 00:00:00,2,1,0,Harju maakond,0,Kokkupõrge,Valge aeg
2011-01-11 00:00:00,4,0,2,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-02-11 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-02-11 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-03-11 00:00:00,3,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-02-11 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-03-11 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-03-11 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-03-11 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2011-04-11 00:00:00,2,0,1,Harju maakond,0,Muu liiklusõnnetus,Valge aeg
2011-04-11 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-04-11 00:00:00,3,0,2,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-06-11 00:00:00,1,1,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2011-06-11 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2011-10-23 11:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-07-11 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-08-11 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-08-11 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-10-11 00:00:00,2,0,3,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-10-11 00:00:00,1,0,1,Harju maakond,0,Muu liiklusõnnetus,Pimeda aeg
2011-10-11 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-11-11 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-11-11 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-11-11 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-11-11 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-11-11 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-12-11 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2011-10-26 09:10:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-12-11 00:00:00,1,0,1,Harju maakond,0,Muu liiklusõnnetus,Valge aeg
2011-11-13 00:28:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2011-11-13 12:30:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2011-02-07 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2011-11-15 18:08:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2011-11-16 03:04:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2011-11-16 09:09:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2011-11-16 16:38:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
